Incident ID,Incident Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col,Classification
343537,20-May-15,Texas,Waco,700 West Tate Street,Texas Waco 700 West Tate Street,31.4629676,-97.1210483,1,0,School Incidents,Killed: 1 Injured:0,School_elementary/secondary
356638,18-May-15,Colorado,Parker,8400 block of South Chambers Road,Colorado Parker 8400 block of South Chambers Road,39.5670187,-104.8147667,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
340049,14-May-15,Florida,Jacksonville,118th Street and Blanding Boulevard,Florida Jacksonville 118th Street and Blanding Boulevard,30.2338169,-81.7392164,0,2,School Incidents,Killed: 0 Injured:2,School_elementary/secondary
338665,12-May-15,Arizona,Tempe,1001 E. Knox Road,Arizona Tempe 1001 E. Knox Road,33.3256842,-111.9263523,1,0,School Incidents,Killed: 1 Injured:0,School_elementary/secondary
339945,6-May-15,New Mexico,Capitan,150 Forest Avenue,New Mexico Capitan 150 Forest Avenue,33.5440747,-105.5829787,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
334976,5-May-15,Georgia,Conyers,400 Sigman Road,Georgia Conyers 400 Sigman Road,33.6844612,-84.0041732,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
334780,4-May-15,Utah,Orem,800 West University Parkway,Utah Orem 800 West University Parkway,40.278957,-111.716379,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
332132,29-Apr-15,Connecticut,New London,36 Waller Street,Connecticut New London 36 Waller Street,41.357904,-72.1069792,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
330541,27-Apr-15,Washington,Olympia,600 Sleater Kinney Road Northeast,Washington Olympia 600 Sleater Kinney Road Northeast,47.0534843,-122.8311201,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
328686,22-Apr-15,Missouri,Saint Louis,4333 Goodfellow Boulevard,Missouri Saint Louis 4333 Goodfellow Boulevard,38.6948082,-90.2704039,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
325583,19-Apr-15,North Carolina,Charlotte,100 Beatties Ford Rd,North Carolina Charlotte 100 Beatties Ford Rd,35.2423707,-80.8559996,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
325516,18-Apr-15,Delaware,Dover,430 State College Road,Delaware Dover 430 State College Road,39.158168,-75.5243682,0,3,School Incidents,Killed: 0 Injured:3,School_University/college
324556,17-Apr-15,Texas,Seguin,7001 Silo Rd.,Texas Seguin 7001 Silo Rd.,29.5689248,-97.9645832,1,0,School Incidents,Killed: 1 Injured:0,School_elementary/secondary
324330,15-Apr-15,Missouri,Columbia,Hitt and Elm Street,Missouri Columbia Hitt and Elm Street,38.9484747,-92.3255537,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
322369,13-Apr-15,North Carolina,Goldsboro,3000 Wayne Memorial Dr.,North Carolina Goldsboro 3000 Wayne Memorial Dr.,35.4029178,-77.9445951,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
319313,7-Apr-15,Iowa,Des Moines,30th and Clark Street,Iowa Des Moines 30th and Clark Street,41.6057754,-93.6584699,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
316505,2-Apr-15,Pennsylvania,Beaver Falls,125 Cessna Drive,Pennsylvania Beaver Falls 125 Cessna Drive,40.7773921,-80.392047,0,1,School Incidents,Killed: 0 Injured:1,School_University/college
316580,1-Apr-15,Massachusetts,Norwood,Dean Street,Massachusetts Norwood Dean Street,42.1787555,-71.1923828,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
316351,31-Mar-15,Wyoming,Laramie,1000 East University Avenue,Wyoming Laramie 1000 East University Avenue,41.3140214,-105.5846008,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
315395,29-Mar-15,Massachusetts,Springfield,Oak Grove Avenue and State Street,Massachusetts Springfield Oak Grove Avenue and State Street,42.1134896,-72.5579845,0,0,School Incidents,Killed: 0 Injured:0,School_University/college
313905,27-Mar-15,Wisconsin,Milwaukee,4141 North 64th Street,Wisconsin Milwaukee 4141 North 64th Street,43.0934216,-87.9933138,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
313302,26-Mar-15,Texas,Laredo,3707 Los Presidentes,Texas Laredo 3707 Los Presidentes,27.4786186,-99.4569363,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
310316,20-Mar-15,South Carolina,Georgetown,2018 Church Street,South Carolina Georgetown 2018 Church Street,33.3819113,-79.2959371,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
306777,13-Mar-15,New York,Rochester,1801 East Main Street,New York Rochester 1801 East Main Street,43.1590839,-77.5627976,0,2,School Incidents,Killed: 0 Injured:2,School_elementary/secondary
301536,5-Mar-15,Texas,Converse,9142 FM78,Texas Converse 9142 FM78,29.5107075,-98.3080671,0,3,School Incidents,Killed: 0 Injured:3,School_elementary/secondary
301149,4-Mar-15,Massachusetts,Springfield,415 State Street,Massachusetts Springfield 415 State Street,42.1066291,-72.5784318,0,0,School Incidents,Killed: 0 Injured:0,School_elementary/secondary
298588,27-Feb-15,District of Columbia,Washington,2701 Naylor Rd SE,District of Columbia Washington 2701 Naylor Rd SE,38.8592949,-76.9685817,0,1,School Incidents,Killed: 0 Injured:1,School_elementary/secondary
296487,23-Feb-15,Florida,Daytona Beach,649 Dr. Mary McLeod Bethune Boulevard,Florida Daytona Beach 649 Dr. Mary McLeod Bethune Boulevard,29.2109228,-81.0322144,0,3,School Incidents,Killed: 0 Injured:3,School_University/college
296341,21-Feb-15,Tennessee,Nashville,2043 Scarritt Place,Tennessee Nashville 2043 Scarritt Place,36.1458525,-86.799038,1,0,School Incidents,Killed: 1 Injured:0,School_University/college
